"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,-0.5,"MLM","pi101",-0.992644198617811,0.0399432520106584,-1.0709329725587,-0.914355424676921,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000249969751503299
1,-0.5,"MLM","theta101",NA,NA,NA,NA,NA
1,-0.5,"MLM","gamma_01j",NA,NA,NA,NA,NA
1,-0.5,"MLM","gamma_11j",NA,NA,NA,NA,NA
1,-0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
1,-0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
1,-0.5,"MELSM","pi101",-1.00181203422,0.0333948040634935,-1.0742443725,-0.9406473325,NA
1,-0.5,"MELSM","theta101",-0.23320092526,0.021289454127904,-0.2770907095,-0.19204092925,NA
1,-0.5,"MELSM","gamma_01j",NA,NA,NA,NA,NA
1,-0.5,"MELSM","gamma_11j",NA,NA,NA,NA,NA
1,0,"MLM","pi101",-0.994072968980257,0.0429845412243394,-1.07832266977996,-0.909823268180552,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000251877378063428
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",NA,NA,NA,NA,NA
1,0,"MLM","gamma_11j",NA,NA,NA,NA,NA
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-0.98867914704,0.0380233741971917,-1.0681981175,-0.9142678385,NA
1,0,"MELSM","theta101",-0.012527002365782,0.0195240965454285,-0.05140808715,0.021284413225,NA
1,0,"MELSM","gamma_01j",NA,NA,NA,NA,NA
1,0,"MELSM","gamma_11j",NA,NA,NA,NA,NA
1,0.5,"MLM","pi101",-1.04378404894395,0.0496772928841966,-1.14115154299698,-0.946416554890927,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051709890269248
1,0.5,"MLM","theta101",NA,NA,NA,NA,NA
1,0.5,"MLM","gamma_01j",NA,NA,NA,NA,NA
1,0.5,"MLM","gamma_11j",NA,NA,NA,NA,NA
1,0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0.5,"MELSM","pi101",-1.0290220474,0.0416386632561843,-1.1071025325,-0.95040598375,NA
1,0.5,"MELSM","theta101",0.2572028791,0.0205929946792153,0.21721600975,0.296285498,NA
1,0.5,"MELSM","gamma_01j",NA,NA,NA,NA,NA
1,0.5,"MELSM","gamma_11j",NA,NA,NA,NA,NA
2,-0.5,"MLM","pi101",-1.04191195990118,0.0377482423789177,-1.11589851496386,-0.967925404838498,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106451825023461
2,-0.5,"MLM","theta101",NA,NA,NA,NA,NA
