"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,-0.5,"MLM","pi101",-1.02541298227669,0.0385289397443495,-1.10092970417561,-0.949896260377763,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000466238078043978
1,-0.5,"MLM","theta101",NA,NA,NA,NA,NA
1,-0.5,"MLM","gamma_01j",NA,NA,NA,NA,NA
1,-0.5,"MLM","gamma_11j",NA,NA,NA,NA,NA
1,-0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
1,-0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
1,-0.5,"MELSM","pi101",-1.01079321608,0.0357639977529818,-1.0769361675,-0.9423332695,NA
1,-0.5,"MELSM","theta101",-0.26696736578,0.0199301398412295,-0.304067245,-0.2290480445,NA
1,-0.5,"MELSM","gamma_01j",NA,NA,NA,NA,NA
1,-0.5,"MELSM","gamma_11j",NA,NA,NA,NA,NA
1,0,"MLM","pi101",-1.02830774044617,0.0444296488440496,-1.1153898521805,-0.941225628711829,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000164658298560838
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",NA,NA,NA,NA,NA
1,0,"MLM","gamma_11j",NA,NA,NA,NA,NA
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-1.01949896448,0.0375771187145441,-1.0954582975,-0.949033229,NA
1,0,"MELSM","theta101",0.0127200117882,0.018912001435773,-0.02496409835,0.0469362434,NA
1,0,"MELSM","gamma_01j",NA,NA,NA,NA,NA
1,0,"MELSM","gamma_11j",NA,NA,NA,NA,NA
1,0.5,"MLM","pi101",-1.01192751010414,0.0524430803242924,-1.11471594753975,-0.909139072668523,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000583354234851749
1,0.5,"MLM","theta101",NA,NA,NA,NA,NA
1,0.5,"MLM","gamma_01j",NA,NA,NA,NA,NA
1,0.5,"MLM","gamma_11j",NA,NA,NA,NA,NA
1,0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0.5,"MELSM","pi101",-1.01141638824,0.0411007378346351,-1.0913991425,-0.93576864325,NA
1,0.5,"MELSM","theta101",0.24112297066,0.018899879046858,0.20420803125,0.27665385525,NA
1,0.5,"MELSM","gamma_01j",NA,NA,NA,NA,NA
1,0.5,"MELSM","gamma_11j",NA,NA,NA,NA,NA
2,-0.5,"MLM","pi101",-1.03747250119753,0.0404372167753542,-1.11672944607722,-0.958215556317833,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000358904684403381
2,-0.5,"MLM","theta101",NA,NA,NA,NA,NA
2,-0.5,"MLM","gamma_01j",NA,NA,NA,NA,NA
2,-0.5,"MLM","gamma_11j",NA,NA,NA,NA,NA
2,-0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
2,-0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
2,-0.5,"MELSM","pi101",-1.02548285542,0.0331066250918567,-1.0883591325,-0.961897165,NA
2,-0.5,"MELSM","theta101",-0.23274293836,0.0205814516266008,-0.27028396025,-0.1904800405,NA
2,-0.5,"MELSM","gamma_01j",NA,NA,NA,NA,NA
2,-0.5,"MELSM","gamma_11j",NA,NA,NA,NA,NA
2,0,"MLM","pi101",-0.937379218523008,0.0414736184728236,-1.01866751072974,-0.856090926316274,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000415883240066307
2,0,"MLM","theta101",NA,NA,NA,NA,NA
2,0,"MLM","gamma_01j",NA,NA,NA,NA,NA
2,0,"MLM","gamma_11j",NA,NA,NA,NA,NA
2,0,"MLM","tau_01j",NA,NA,NA,NA,NA
2,0,"MLM","tau_11j",NA,NA,NA,NA,NA
2,0,"MELSM","pi101",-0.9581090711,0.0343024992591739,-1.0260245175,-0.88723971325,NA
2,0,"MELSM","theta101",0.013393583291146,0.0186248654984842,-0.0217862886,0.050888533375,NA
2,0,"MELSM","gamma_01j",NA,NA,NA,NA,NA
2,0,"MELSM","gamma_11j",NA,NA,NA,NA,NA
2,0.5,"MLM","pi101",-1.01319391095029,0.0540437859936058,-1.11911973149776,-0.907268090402825,0.00000000000000000000000000000000000000000000000000000000000000000000000000000202341688616445
2,0.5,"MLM","theta101",NA,NA,NA,NA,NA
2,0.5,"MLM","gamma_01j",NA,NA,NA,NA,NA
2,0.5,"MLM","gamma_11j",NA,NA,NA,NA,NA
2,0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
2,0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
2,0.5,"MELSM","pi101",-0.99866160712,0.0470173411907102,-1.0892396925,-0.90822004275,NA
2,0.5,"MELSM","theta101",0.24578711272,0.0199981270332699,0.20775692875,0.287623166,NA
2,0.5,"MELSM","gamma_01j",NA,NA,NA,NA,NA
2,0.5,"MELSM","gamma_11j",NA,NA,NA,NA,NA
3,-0.5,"MLM","pi101",-1.02549393884727,0.0401672441281231,-1.10422173733839,-0.946766140356147,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000901803738862459
3,-0.5,"MLM","theta101",NA,NA,NA,NA,NA
3,-0.5,"MLM","gamma_01j",NA,NA,NA,NA,NA
3,-0.5,"MLM","gamma_11j",NA,NA,NA,NA,NA
3,-0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
3,-0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
3,-0.5,"MELSM","pi101",-1.01515656466,0.0329607484082289,-1.077296875,-0.953306592,NA
3,-0.5,"MELSM","theta101",-0.21736141844,0.0199116663370433,-0.2537324635,-0.17900300325,NA
3,-0.5,"MELSM","gamma_01j",NA,NA,NA,NA,NA
3,-0.5,"MELSM","gamma_11j",NA,NA,NA,NA,NA
3,0,"MLM","pi101",-1.05260415464201,0.0415560097221583,-1.13405393369744,-0.971154375586579,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150164031331031
