"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,0,"MLM","pi101",-0.990443268655227,0.01706436004278,-1.02388941433908,-0.956997122971378,0
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",0.489059242225486,0.0284769401282829,0.433244439574052,0.544874044876921,0.00000000000000000000000000000000000000000000000000000000000000000416694675956643
1,0,"MLM","gamma_11j",0.0896735488722557,0.0168452350062079,0.0566568882600882,0.122690209484423,0.000000101857927363665
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-0.99238971648,0.0176703818133666,-1.0249245625,-0.95500510025,NA
1,0,"MELSM","theta101",0.032224369891478,0.0226370469806794,-0.013345501525,0.076474614125,NA
1,0,"MELSM","gamma_01j",0.49090924194,0.0302590421064484,0.433029639,0.55095200675,NA
1,0,"MELSM","gamma_11j",0.08845937756,0.0184607528990422,0.0552030699,0.12304713675,NA
2,0,"MLM","pi101",-1.00119381087655,0.0183238334378891,-1.03710852441481,-0.96527909733829,0
2,0,"MLM","theta101",NA,NA,NA,NA,NA
2,0,"MLM","gamma_01j",0.455016258494323,0.0283008111261715,0.399546668687027,0.510485848301619,0.000000000000000000000000000000000000000000000000000000000364809035904179
2,0,"MLM","gamma_11j",0.100421483644806,0.0168386320581853,0.0674177648107629,0.133425202478849,0.00000000246505593422518
2,0,"MLM","tau_01j",NA,NA,NA,NA,NA
2,0,"MLM","tau_11j",NA,NA,NA,NA,NA
2,0,"MELSM","pi101",-0.99915031282,0.0170342081722979,-1.03256149,-0.969210967,NA
2,0,"MELSM","theta101",0.000619214524716,0.0244700226590715,-0.049167239275,0.050621440725,NA
2,0,"MELSM","gamma_01j",0.45804345934,0.0283977501289949,0.40481377325,0.5110234485,NA
2,0,"MELSM","gamma_11j",0.099600004322,0.0157353236465405,0.068951392975,0.131767984,NA
3,0,"MLM","pi101",-0.994146481762753,0.0170999144709876,-1.02766231412589,-0.960630649399617,0
3,0,"MLM","theta101",NA,NA,NA,NA,NA
3,0,"MLM","gamma_01j",0.472233918515525,0.0287449570087992,0.415893802778279,0.528574034252772,0.00000000000000000000000000000000000000000000000000000000000119759441686574
3,0,"MLM","gamma_11j",0.106817835176821,0.0169613847224895,0.0735735211207418,0.140062149232901,0.0000000003020803700153
3,0,"MLM","tau_01j",NA,NA,NA,NA,NA
3,0,"MLM","tau_11j",NA,NA,NA,NA,NA
3,0,"MELSM","pi101",-0.99469315334,0.018063449158977,-1.0279328425,-0.95948695975,NA
3,0,"MELSM","theta101",0.002757958510924,0.0221869138714914,-0.039562765525,0.046642537775,NA
3,0,"MELSM","gamma_01j",0.4746225476,0.029849656466464,0.4184232485,0.5359390355,NA
3,0,"MELSM","gamma_11j",0.105835497274,0.0176045612637686,0.07099029215,0.14052284225,NA
4,0,"MLM","pi101",-0.985277617569887,0.0170841391822049,-1.01876253036701,-0.951792704772765,0
4,0,"MLM","theta101",NA,NA,NA,NA,NA
4,0,"MLM","gamma_01j",0.520622231751783,0.0285188909576196,0.464725205474849,0.576519258028718,0.0000000000000000000000000000000000000000000000000000000000000000000000000187617286426818
4,0,"MLM","gamma_11j",0.0830616009455565,0.0169059209440539,0.0499259958952107,0.116197205995902,0.000000896172037111945
4,0,"MLM","tau_01j",NA,NA,NA,NA,NA
4,0,"MLM","tau_11j",NA,NA,NA,NA,NA
4,0,"MELSM","pi101",-0.98473679402,0.0177500176501663,-1.019779555,-0.951065944,NA
4,0,"MELSM","theta101",-0.0333714883302,0.0225685561309994,-0.0798564727,0.0129561529,NA
4,0,"MELSM","gamma_01j",0.51771062778,0.0272410914929595,0.46349777375,0.57006968575,NA
4,0,"MELSM","gamma_11j",0.085132680634,0.0165407225745233,0.05438062455,0.118498023,NA
5,0,"MLM","pi101",-0.980658856092026,0.0171473564866638,-1.01426767480589,-0.947050037378165,0
5,0,"MLM","theta101",NA,NA,NA,NA,NA
5,0,"MLM","gamma_01j",0.470571630379106,0.0277182218385873,0.416243915575475,0.524899345182737,0.000000000000000000000000000000000000000000000000000000000000000121588566636212
5,0,"MLM","gamma_11j",0.0928431426469554,0.017145555914143,0.0592378530552351,0.126448432238676,0.0000000612895575163792
5,0,"MLM","tau_01j",NA,NA,NA,NA,NA
5,0,"MLM","tau_11j",NA,NA,NA,NA,NA
5,0,"MELSM","pi101",-0.98144827138,0.0175046807197229,-1.017640525,-0.9476962425,NA
5,0,"MELSM","theta101",-0.001169550187006,0.0225638682793541,-0.044456513325,0.0454867462,NA
5,0,"MELSM","gamma_01j",0.46971916462,0.0286356004309246,0.41331194975,0.52435236925,NA
5,0,"MELSM","gamma_11j",0.093484520964,0.0171982617973355,0.056793407425,0.12704823125,NA
