"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,0,"MLM","pi101",-1.00450988255647,0.0172610102588763,-1.03834146266386,-0.97067830244907,0
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",0.493509699489812,0.0284504629417657,0.437746792123951,0.549272606855673,0.000000000000000000000000000000000000000000000000000000000000000000210437535365107
1,0,"MLM","gamma_11j",0.0962224424265897,0.0172436761898224,0.0624248370945378,0.130020047758642,0.0000000240299816325829
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-1.02571086346,0.0205928271102124,-1.0494502825,-0.97813124925,NA
1,0,"MELSM","theta101",0.04425493815875,0.0170833138593286,0.000309560029625001,0.068936439,NA
1,0,"MELSM","gamma_01j",0.47611896708,0.0234044740695953,0.4321070125,0.53350425775,NA
1,0,"MELSM","gamma_11j",0.095515396056,0.0158102231407148,0.0634866684,0.12904438,NA
2,0,"MLM","pi101",-1.00489121898128,0.0170110901438965,-1.03823295566331,-0.971549482299239,0
2,0,"MLM","theta101",NA,NA,NA,NA,NA
2,0,"MLM","gamma_01j",0.532219419464115,0.0287757249873412,0.475818998488926,0.588619840439303,0.000000000000000000000000000000000000000000000000000000000000000000000000000224740557092379
2,0,"MLM","gamma_11j",0.109652966315491,0.0169706739485681,0.0763904453762977,0.142915487254685,0.000000000103793109510915
2,0,"MLM","tau_01j",NA,NA,NA,NA,NA
2,0,"MLM","tau_11j",NA,NA,NA,NA,NA
2,0,"MELSM","pi101",-1.00533915464,0.0178676509825194,-1.0398382375,-0.96915090625,NA
2,0,"MELSM","theta101",-0.034310127170658,0.0232318442859437,-0.0808146153,0.00737571062249998,NA
2,0,"MELSM","gamma_01j",0.53335655624,0.0280406806051361,0.47987886925,0.5866682335,NA
2,0,"MELSM","gamma_11j",0.107440230724,0.0173970250544948,0.072552317525,0.1392571765,NA
3,0,"MLM","pi101",-0.978111586009382,0.0171538253300305,-1.01173308365624,-0.944490088362522,0
3,0,"MLM","theta101",NA,NA,NA,NA,NA
