"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,0,"MLM","pi101",-0.99686000198389,0.0172507477652156,-1.03067146760371,-0.963048536364068,0
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",0.465144257067465,0.028030702257029,0.410204080643688,0.520084433491242,0.0000000000000000000000000000000000000000000000000000000000000768885653910009
1,0,"MLM","gamma_11j",0.115918457140942,0.017189352836442,0.0822273255815154,0.149609588700368,0.0000000000154488666158195
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-0.99691581824,0.0162162285698438,-1.0280115875,-0.9659769195,NA
1,0,"MELSM","theta101",0.013836385342796,0.0218749241958505,-0.0249031661,0.054795363975,NA
1,0,"MELSM","gamma_01j",0.46466266294,0.027058312539782,0.414424929,0.518065078,NA
1,0,"MELSM","gamma_11j",0.116311811884,0.017193225394204,0.0814946168,0.1501315545,NA
2,0,"MLM","pi101",-1.00950395710537,0.0176328111114711,-1.04406426688385,-0.974943647326887,0
2,0,"MLM","theta101",NA,NA,NA,NA,NA
2,0,"MLM","gamma_01j",0.458239307249469,0.0281368033856963,0.403091172613504,0.513387441885434,0.000000000000000000000000000000000000000000000000000000000012384453151724
2,0,"MLM","gamma_11j",0.111465640786037,0.0168817712075343,0.0783773692192701,0.144553912352805,0.0000000000403676331586541
2,0,"MLM","tau_01j",NA,NA,NA,NA,NA
2,0,"MLM","tau_11j",NA,NA,NA,NA,NA
2,0,"MELSM","pi101",-1.00841195088,0.0176509732713637,-1.0445016875,-0.97473302425,NA
2,0,"MELSM","theta101",-0.03347409262044,0.0233649846956908,-0.08185282145,0.0162775213749999,NA
2,0,"MELSM","gamma_01j",0.45825752008,0.0284469572996774,0.40224261375,0.50851161475,NA
2,0,"MELSM","gamma_11j",0.111123307788,0.017184107494674,0.077483516125,0.1433847675,NA
3,0,"MLM","pi101",-0.987440757197094,0.0170686106730342,-1.02089523411624,-0.953986280277947,0
3,0,"MLM","theta101",NA,NA,NA,NA,NA
3,0,"MLM","gamma_01j",0.498970921909491,0.0279772401205931,0.444135531273129,0.553806312545854,0.0000000000000000000000000000000000000000000000000000000000000000000000378813350097719
3,0,"MLM","gamma_11j",0.111394885813067,0.01699746706009,0.078079850375291,0.144709921250844,0.0000000000561599661222036
3,0,"MLM","tau_01j",NA,NA,NA,NA,NA
3,0,"MLM","tau_11j",NA,NA,NA,NA,NA
3,0,"MELSM","pi101",-0.98790048988,0.0171774713406183,-1.0200371075,-0.955475405,NA
3,0,"MELSM","theta101",0.010704445591778,0.0226448407895629,-0.030713837325,0.057620269675,NA
3,0,"MELSM","gamma_01j",0.50226445196,0.0276936682739379,0.44757291375,0.557018823,NA
3,0,"MELSM","gamma_11j",0.109419989524,0.0163727205580971,0.0762628279,0.14278613375,NA
4,0,"MLM","pi101",-0.979826751574135,0.0181875654372159,-1.01547437983108,-0.944179123317192,0
4,0,"MLM","theta101",NA,NA,NA,NA,NA
