"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,0,"MLM","pi101",-0.990443268655227,0.01706436004278,-1.02388941433908,-0.956997122971378,0
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",0.489059242225486,0.0284769401282829,0.433244439574052,0.544874044876921,0.00000000000000000000000000000000000000000000000000000000000000000416694675956643
1,0,"MLM","gamma_11j",0.0896735488722557,0.0168452350062079,0.0566568882600882,0.122690209484423,0.000000101857927363665
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-0.99185043288,0.0174803855733329,-1.0245497375,-0.9551727585,NA
1,0,"MELSM","theta101",0.032613349046812,0.0223881717679719,-0.015699566825,0.07440983085,NA
1,0,"MELSM","gamma_01j",0.48885619792,0.0311097648715856,0.43064165225,0.544684164,NA
1,0,"MELSM","gamma_11j",0.089412156628,0.0172732041447511,0.057116304175,0.12267808725,NA
2,0,"MLM","pi101",-1.00119381087655,0.0183238334378891,-1.03710852441481,-0.96527909733829,0
2,0,"MLM","theta101",NA,NA,NA,NA,NA
2,0,"MLM","gamma_01j",0.455016258494323,0.0283008111261715,0.399546668687027,0.510485848301619,0.000000000000000000000000000000000000000000000000000000000364809035904179
2,0,"MLM","gamma_11j",0.100421483644806,0.0168386320581853,0.0674177648107629,0.133425202478849,0.00000000246505593422518
2,0,"MLM","tau_01j",NA,NA,NA,NA,NA
2,0,"MLM","tau_11j",NA,NA,NA,NA,NA
2,0,"MELSM","pi101",-0.99991799094,0.0183187281794396,-1.0355950325,-0.9609880305,NA
2,0,"MELSM","theta101",-0.0002917740562,0.0217536108143022,-0.041370689975,0.03952889255,NA
2,0,"MELSM","gamma_01j",0.4525249053,0.0296853779472068,0.3906775615,0.507895006,NA
2,0,"MELSM","gamma_11j",0.10126540074,0.0162972788780251,0.070637029175,0.13101593225,NA
3,0,"MLM","pi101",-0.994146481762753,0.0170999144709876,-1.02766231412589,-0.960630649399617,0
3,0,"MLM","theta101",NA,NA,NA,NA,NA
3,0,"MLM","gamma_01j",0.472233918515525,0.0287449570087992,0.415893802778279,0.528574034252772,0.00000000000000000000000000000000000000000000000000000000000119759441686574
3,0,"MLM","gamma_11j",0.106817835176821,0.0169613847224895,0.0735735211207418,0.140062149232901,0.0000000003020803700153
3,0,"MLM","tau_01j",NA,NA,NA,NA,NA
3,0,"MLM","tau_11j",NA,NA,NA,NA,NA
3,0,"MELSM","pi101",-0.9956687573,0.01816584393512,-1.0308115925,-0.96209542325,NA
3,0,"MELSM","theta101",0.000754776458312,0.0219469491091079,-0.045897423225,0.043657732175,NA
3,0,"MELSM","gamma_01j",0.47259580996,0.0292227529281457,0.418493129,0.53072881,NA
3,0,"MELSM","gamma_11j",0.105919158214,0.0170475322214961,0.073556142125,0.1379670545,NA
4,0,"MLM","pi101",-0.985277617569887,0.0170841391822049,-1.01876253036701,-0.951792704772765,0
4,0,"MLM","theta101",NA,NA,NA,NA,NA
4,0,"MLM","gamma_01j",0.520622231751783,0.0285188909576196,0.464725205474849,0.576519258028718,0.0000000000000000000000000000000000000000000000000000000000000000000000000187617286426818
4,0,"MLM","gamma_11j",0.0830616009455565,0.0169059209440539,0.0499259958952107,0.116197205995902,0.000000896172037111945
4,0,"MLM","tau_01j",NA,NA,NA,NA,NA
4,0,"MLM","tau_11j",NA,NA,NA,NA,NA
4,0,"MELSM","pi101",-0.98563981008,0.0155165226858139,-1.014782145,-0.95254798475,NA
4,0,"MELSM","theta101",-0.0330262105182,0.0242091897376574,-0.082040021275,0.01777842485,NA
4,0,"MELSM","gamma_01j",0.52054398094,0.0268986544530903,0.4668645455,0.5722338305,NA
4,0,"MELSM","gamma_11j",0.083541502748,0.0173187186411744,0.048608276375,0.1184736775,NA
5,0,"MLM","pi101",-0.980658856092026,0.0171473564866638,-1.01426767480589,-0.947050037378165,0
5,0,"MLM","theta101",NA,NA,NA,NA,NA
5,0,"MLM","gamma_01j",0.470571630379106,0.0277182218385873,0.416243915575475,0.524899345182737,0.000000000000000000000000000000000000000000000000000000000000000121588566636212
5,0,"MLM","gamma_11j",0.0928431426469554,0.017145555914143,0.0592378530552351,0.126448432238676,0.0000000612895575163792
5,0,"MLM","tau_01j",NA,NA,NA,NA,NA
5,0,"MLM","tau_11j",NA,NA,NA,NA,NA
5,0,"MELSM","pi101",-0.98111168046,0.0168278529248762,-1.014086035,-0.95101104725,NA
5,0,"MELSM","theta101",-0.000702643589172,0.0219353910534283,-0.041462058,0.0430565627,NA
5,0,"MELSM","gamma_01j",0.47064978518,0.0283649661585898,0.41286456575,0.525768267,NA
5,0,"MELSM","gamma_11j",0.093785278438,0.0174743000082613,0.05984734025,0.12647872275,NA
