"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,0,"MLM","pi101",-0.993454859656364,0.0168926702908395,-1.02656449342641,-0.960345225886318,0
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",0.506191080434835,0.0279235067781808,0.4514610071496,0.560921153720069,0.000000000000000000000000000000000000000000000000000000000000000000000000192383502143546
1,0,"MLM","gamma_11j",0.116500481585032,0.0168576929290889,0.0834594034440182,0.149541559726046,0.00000000000481860130405219
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-0.99496466444,0.0162607740843091,-1.0303942375,-0.963965933,NA
1,0,"MELSM","theta101",0.03097586709274,0.0220763344062366,-0.009584167695,0.0790012763499999,NA
1,0,"MELSM","gamma_01j",0.5048009002,0.0280803620942828,0.45212544225,0.55696336225,NA
1,0,"MELSM","gamma_11j",0.115672970184,0.0169130857598581,0.08199908545,0.146486693,NA
2,0,"MLM","pi101",-1.0221519460718,0.0170142341305443,-1.05549984496767,-0.988804047175933,0
2,0,"MLM","theta101",NA,NA,NA,NA,NA
2,0,"MLM","gamma_01j",0.48849928091259,0.028599916649451,0.432443444279666,0.544555117545514,0.0000000000000000000000000000000000000000000000000000000000000000207532835613843
2,0,"MLM","gamma_11j",0.100861882772722,0.0170107369660819,0.0675208383192017,0.134202927226243,0.00000000304215735547414
2,0,"MLM","tau_01j",NA,NA,NA,NA,NA
2,0,"MLM","tau_11j",NA,NA,NA,NA,NA
2,0,"MELSM","pi101",-1.02262872138,0.0156258753635182,-1.0502656,-0.99058602775,NA
2,0,"MELSM","theta101",0.01453202443212,0.0220121334460564,-0.02836388255,0.056834230575,NA
2,0,"MELSM","gamma_01j",0.49000209716,0.0274230216217585,0.439976628,0.541889522,NA
2,0,"MELSM","gamma_11j",0.100350752272,0.016540966781574,0.066572177175,0.1310296475,NA
