"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,0,"MLM","pi101",-1.0053925013374,0.0182259934911112,-1.04111544857998,-0.969669554094825,0
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",0.433896679739091,0.0284045978616491,0.378223667930259,0.489569691547923,0.000000000000000000000000000000000000000000000000000111235568643231
1,0,"MLM","gamma_11j",0.119996316026129,0.0171109720127115,0.0864588108812143,0.153533821171043,0.00000000000233547292491764
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-1.00555380912,0.0168333923606695,-1.037330175,-0.97222425975,NA
1,0,"MELSM","theta101",0.015423114300204,0.0258016313119281,-0.037208721375,0.061608723325,NA
1,0,"MELSM","gamma_01j",0.43326343708,0.0297351287154744,0.3778857995,0.49024087275,NA
1,0,"MELSM","gamma_11j",0.120947383368,0.0176652799713925,0.0898634011,0.15983009375,NA
2,0,"MLM","pi101",-0.977089023876948,0.0171451973619914,-1.01069361070645,-0.943484437047445,0
2,0,"MLM","theta101",NA,NA,NA,NA,NA
2,0,"MLM","gamma_01j",0.491025285704077,0.0283846184415908,0.435391433558559,0.546659137849595,0.000000000000000000000000000000000000000000000000000000000000000000478691605983098
2,0,"MLM","gamma_11j",0.120057003274837,0.0170356634533591,0.0866671029062533,0.153446903643421,0.00000000000182301837955298
2,0,"MLM","tau_01j",NA,NA,NA,NA,NA
2,0,"MLM","tau_11j",NA,NA,NA,NA,NA
2,0,"MELSM","pi101",-0.97879346708,0.0172740956609568,-1.0120699575,-0.94562618825,NA
2,0,"MELSM","theta101",-0.008469398751794,0.0257533018252366,-0.060756771325,0.036663702875,NA
2,0,"MELSM","gamma_01j",0.48974397672,0.029531971370275,0.428184871,0.54889142575,NA
2,0,"MELSM","gamma_11j",0.120293907486,0.018275171964436,0.081931754975,0.15496327825,NA
3,0,"MLM","pi101",-1.01688393914573,0.0184885116401472,-1.05312142196042,-0.980646456331041,0
3,0,"MLM","theta101",NA,NA,NA,NA,NA
3,0,"MLM","gamma_01j",0.454212595303943,0.0286754009682452,0.398008809406182,0.510416381201704,0.0000000000000000000000000000000000000000000000000000000165347806209485
3,0,"MLM","gamma_11j",0.125818849959141,0.0170969225431799,0.0923088817745084,0.159328818143774,0.000000000000185082331840487
3,0,"MLM","tau_01j",NA,NA,NA,NA,NA
3,0,"MLM","tau_11j",NA,NA,NA,NA,NA
3,0,"MELSM","pi101",-1.0173974919,0.0180421013605431,-1.052535865,-0.9813633415,NA
3,0,"MELSM","theta101",-0.014055344178248,0.0219943408568444,-0.0540695659,0.02791097635,NA
3,0,"MELSM","gamma_01j",0.45517573168,0.0286575788265375,0.400138142,0.5139324085,NA
3,0,"MELSM","gamma_11j",0.125783127362,0.0177194859156781,0.0911183058,0.15830174725,NA
4,0,"MLM","pi101",-0.990114920641902,0.0169108365526026,-1.023260160285,-0.956969680998801,0
4,0,"MLM","theta101",NA,NA,NA,NA,NA
4,0,"MLM","gamma_01j",0.520524732033164,0.028166955429429,0.465317499391483,0.575731964674844,0.000000000000000000000000000000000000000000000000000000000000000000000000000299300303229234
4,0,"MLM","gamma_11j",0.0880254014981814,0.0168657819637504,0.0549684688492307,0.121082334147132,0.000000179725689226589
4,0,"MLM","tau_01j",NA,NA,NA,NA,NA
4,0,"MLM","tau_11j",NA,NA,NA,NA,NA
4,0,"MELSM","pi101",-0.9891672712,0.0175389519887302,-1.0217626775,-0.955434812,NA
4,0,"MELSM","theta101",-0.03146432279356,0.0231003028155173,-0.076000106275,0.0149241976499999,NA
4,0,"MELSM","gamma_01j",0.52151086068,0.0270330659196316,0.47188336025,0.578518911,NA
4,0,"MELSM","gamma_11j",0.087532194698,0.0162892585761193,0.05499716475,0.11878100375,NA
5,0,"MLM","pi101",-0.968496804302992,0.0169721811235034,-1.00176227930506,-0.935231329300926,0
5,0,"MLM","theta101",NA,NA,NA,NA,NA
5,0,"MLM","gamma_01j",0.513882725130465,0.0277014929941915,0.45958779886185,0.56817765139908,0.0000000000000000000000000000000000000000000000000000000000000000000000000000804623097691769
5,0,"MLM","gamma_11j",0.0757332481521468,0.0167347353251212,0.0429331669149093,0.108533329389384,0.00000602494178050745
5,0,"MLM","tau_01j",NA,NA,NA,NA,NA
5,0,"MLM","tau_11j",NA,NA,NA,NA,NA
5,0,"MELSM","pi101",-0.96908330436,0.016057101685571,-1.002535495,-0.938953731,NA
5,0,"MELSM","theta101",-0.013945959063716,0.0210545670241311,-0.052547289025,0.027858773,NA
5,0,"MELSM","gamma_01j",0.51379442678,0.027740692007783,0.45794170375,0.56535557775,NA
5,0,"MELSM","gamma_11j",0.076572300614,0.0171087448387663,0.043466428675,0.10779963275,NA
6,0,"MLM","pi101",-1.00876218282389,0.0168976397373602,-1.04188155670911,-0.975642808938661,0
6,0,"MLM","theta101",NA,NA,NA,NA,NA
6,0,"MLM","gamma_01j",0.521549285565826,0.0280382335052501,0.466594347895536,0.576504223236117,0.0000000000000000000000000000000000000000000000000000000000000000000000000000313256698573974
6,0,"MLM","gamma_11j",0.071383307989676,0.0168520967612418,0.0383531983376421,0.10441341764171,0.0000227667458732308
6,0,"MLM","tau_01j",NA,NA,NA,NA,NA
6,0,"MLM","tau_11j",NA,NA,NA,NA,NA
6,0,"MELSM","pi101",-1.00472714652,0.0206853642572761,-1.0434186675,-0.9658009415,NA
6,0,"MELSM","theta101",-0.02405881012942,0.0241168241891727,-0.07188810695,0.019754401775,NA
6,0,"MELSM","gamma_01j",0.5240512071,0.0270490155913772,0.468217428,0.575063489,NA
6,0,"MELSM","gamma_11j",0.0698894892458,0.0211078727250304,0.029610787,0.1117677805,NA
7,0,"MLM","pi101",-0.999753428310544,0.0172061054616021,-1.03347739501528,-0.966029461605804,0
7,0,"MLM","theta101",NA,NA,NA,NA,NA
7,0,"MLM","gamma_01j",0.497538426993036,0.027801510885741,0.443047465656983,0.552029388329088,0.0000000000000000000000000000000000000000000000000000000000000000000000126490299160001
7,0,"MLM","gamma_11j",0.0653774632705561,0.0167432895024134,0.0325606158458259,0.0981943106952863,0.0000943437240842954
7,0,"MLM","tau_01j",NA,NA,NA,NA,NA
7,0,"MLM","tau_11j",NA,NA,NA,NA,NA
7,0,"MELSM","pi101",-1.00042835516,0.0173558317459251,-1.0325685425,-0.963130227,NA
7,0,"MELSM","theta101",-0.01561109370988,0.0234741359846277,-0.06167118195,0.032006447,NA
7,0,"MELSM","gamma_01j",0.49798907642,0.0262105301151023,0.446278269,0.54799045275,NA
7,0,"MELSM","gamma_11j",0.064856751088,0.0161342217409832,0.0331832533,0.095833144025,NA
8,0,"MLM","pi101",-1.01191151475676,0.0168110030661885,-1.04486108076649,-0.978961948747035,0
8,0,"MLM","theta101",NA,NA,NA,NA,NA
8,0,"MLM","gamma_01j",0.542315314356914,0.0273646714742938,0.488680558267299,0.59595007044653,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000207880184079751
8,0,"MLM","gamma_11j",0.0958822535239364,0.0168105201595648,0.0629336340111894,0.128830873036683,0.0000000117230664487394
8,0,"MLM","tau_01j",NA,NA,NA,NA,NA
8,0,"MLM","tau_11j",NA,NA,NA,NA,NA
8,0,"MELSM","pi101",-1.01010270032,0.0182114510371697,-1.0451482225,-0.976336986,NA
8,0,"MELSM","theta101",0.01783156420662,0.0233793886882352,-0.027815149975,0.061538324625,NA
8,0,"MELSM","gamma_01j",0.54076490182,0.0283296263384115,0.48299773,0.59665657325,NA
8,0,"MELSM","gamma_11j",0.097968295078,0.0186707142982867,0.06344753105,0.1361604695,NA
9,0,"MLM","pi101",-1.02283264200301,0.0172472234204992,-1.05663719990719,-0.989028084098835,0
9,0,"MLM","theta101",NA,NA,NA,NA,NA
9,0,"MLM","gamma_01j",0.535340488640289,0.0281198131235612,0.480225654918109,0.590455322362469,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000082876475961971
9,0,"MLM","gamma_11j",0.114310579841613,0.0170121259426584,0.0809668129940026,0.147654346689224,0.0000000000182525834508735
9,0,"MLM","tau_01j",NA,NA,NA,NA,NA
9,0,"MLM","tau_11j",NA,NA,NA,NA,NA
9,0,"MELSM","pi101",-1.0206260378,0.0172162808864782,-1.0566722375,-0.98620526575,NA
9,0,"MELSM","theta101",0.00920529059809,0.022778526974978,-0.030689134225,0.051912868075,NA
9,0,"MELSM","gamma_01j",0.53666109382,0.026965629134126,0.48092724975,0.5922918835,NA
9,0,"MELSM","gamma_11j",0.113952977338,0.0166692796427457,0.08030030275,0.1477181055,NA
10,0,"MLM","pi101",-0.987056304972347,0.0168406563173873,-1.02006399135443,-0.954048618590268,0
10,0,"MLM","theta101",NA,NA,NA,NA,NA
10,0,"MLM","gamma_01j",0.497896916187752,0.0283034716184549,0.44242211181558,0.553371720559923,0.00000000000000000000000000000000000000000000000000000000000000000000286844495586607
10,0,"MLM","gamma_11j",0.0960732480019147,0.0167205056712187,0.0633010568863262,0.128845439117503,0.00000000914690738447121
10,0,"MLM","tau_01j",NA,NA,NA,NA,NA
10,0,"MLM","tau_11j",NA,NA,NA,NA,NA
10,0,"MELSM","pi101",-0.98669267068,0.0175280445438485,-1.0204594425,-0.95210163175,NA
10,0,"MELSM","theta101",-0.015039399010048,0.0216872506496073,-0.058746584375,0.0270511603,NA
10,0,"MELSM","gamma_01j",0.4985066134,0.029004649052774,0.44183369125,0.553941467,NA
10,0,"MELSM","gamma_11j",0.09732523984,0.0175229999198205,0.064358119925,0.13180029925,NA
