"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,-0.5,"MLM","pi101",-1.03834095953888,0.0523058493826824,-1.14086042432894,-0.93582149474882,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000107310913550442
1,-0.5,"MLM","theta101",NA,NA,NA,NA,NA
1,-0.5,"MLM","gamma_01j",0.484047574041954,0.0704589970103839,0.345947939901602,0.622147208182307,0.00000000000642385491502799
1,-0.5,"MLM","gamma_11j",0.075021658654939,0.0521088648778717,-0.0271117165056895,0.177155033815567,0.149949436900288
1,-0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
1,-0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
1,-0.5,"MELSM","pi101",-1.045371721,0.0414992392412627,-1.12872295,-0.964386191,NA
1,-0.5,"MELSM","theta101",-0.22716880344,0.0208096855132665,-0.26875016125,-0.187166545,NA
1,-0.5,"MELSM","gamma_01j",0.48831770568,0.0627505164113643,0.37215273025,0.612653948,NA
1,-0.5,"MELSM","gamma_11j",0.079641597860374,0.0466579375882256,-0.00839618971999999,0.1678722735,NA
1,0,"MLM","pi101",-1.04652579505666,0.0585386823808611,-1.16126161252315,-0.931789977590177,0.0000000000000000000000000000000000000000000000000000000000000000000000176552132109559
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",0.444996839743619,0.0742167575609667,0.299531994924124,0.590461684563114,0.00000000202351741203675
1,0,"MLM","gamma_11j",0.198357594542768,0.0585419615169357,0.0836153499695741,0.313099839115962,0.000703278824758851
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-1.02012173832,0.0470204450144738,-1.1019042125,-0.92428764775,NA
1,0,"MELSM","theta101",-0.017170125806666,0.0178557446662365,-0.05471238495,0.0166314161,NA
1,0,"MELSM","gamma_01j",0.43308730336,0.0625459926464786,0.309328053,0.55093402275,NA
1,0,"MELSM","gamma_11j",0.212926421846,0.0523361801863962,0.109340583,0.32134392225,NA
1,0.5,"MLM","pi101",-1.05001160263954,0.0709797156510745,-1.18913184531564,-0.910891359963433,0.000000000000000000000000000000000000000000000000162249658119349
1,0.5,"MLM","theta101",NA,NA,NA,NA,NA
1,0.5,"MLM","gamma_01j",0.512676546003823,0.0800265398071326,0.355824527981843,0.669528564025803,0.000000000149062639322723
1,0.5,"MLM","gamma_11j",0.0882217178724689,0.0709890046291196,-0.0509167312006055,0.227360166945543,0.213959285327115
1,0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
