"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,-0.5,"MLM","pi101",-1.04772947083774,0.0546769963099305,-1.15489638360521,-0.940562558070279,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000766231257812611
1,-0.5,"MLM","theta101",NA,NA,NA,NA,NA
1,-0.5,"MLM","gamma_01j",0.486025780514026,0.0722586021229222,0.344398920353098,0.627652640674953,0.0000000000174151637440503
1,-0.5,"MLM","gamma_11j",0.111782769737244,0.0545190371062758,0.00492545700894363,0.218640082465545,0.0403308931962736
1,-0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
1,-0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
1,-0.5,"MELSM","pi101",-1.04945826868,0.038533495261786,-1.12474419,-0.97272442,NA
1,-0.5,"MELSM","theta101",-0.21991788016,0.0190724688408817,-0.2558682035,-0.1859936595,NA
1,-0.5,"MELSM","gamma_01j",0.51249237422,0.0657914962926937,0.3830900825,0.63484441175,NA
1,-0.5,"MELSM","gamma_11j",0.09000207919276,0.045261253432321,-0.0035889593325,0.17829149275,NA
1,0,"MLM","pi101",-1.05631879774064,0.0555297819968517,-1.16515717045447,-0.947480425026812,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000110925291179222
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",0.489897437900312,0.069451574908139,0.35377235108036,0.626022524720265,0.00000000000174098028527708
1,0,"MLM","gamma_11j",0.253400150897461,0.0554064806159361,0.144803448890227,0.361996852904696,0.00000479701065110414
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-1.04222019958,0.0433181520566138,-1.1263906875,-0.95895701975,NA
1,0,"MELSM","theta101",0.003069118440056,0.0189528557164759,-0.033774099125,0.039901478875,NA
1,0,"MELSM","gamma_01j",0.51892754788,0.0633524020473161,0.38893187625,0.63626217575,NA
1,0,"MELSM","gamma_11j",0.22468994877,0.0517067681230582,0.12860049,0.328431159,NA
1,0.5,"MLM","pi101",-1.03406990271908,0.072235110009958,-1.17565071833859,-0.892489087099559,0.000000000000000000000000000000000000000000000175512690033702
1,0.5,"MLM","theta101",NA,NA,NA,NA,NA
1,0.5,"MLM","gamma_01j",0.429716133784398,0.079520212901643,0.273856516497178,0.585575751071619,0.0000000652216926435124
1,0.5,"MLM","gamma_11j",0.163943648992272,0.072147426758031,0.0225346925465306,0.305352605438012,0.0230658443607987
1,0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0.5,"MELSM","pi101",-1.06521580428,0.0495846905546043,-1.163734205,-0.967026773,NA
1,0.5,"MELSM","theta101",0.23175410434,0.0191364391707015,0.19278666775,0.26794034525,NA
1,0.5,"MELSM","gamma_01j",0.44715792174,0.0704810632702828,0.30861404,0.59177707525,NA
1,0.5,"MELSM","gamma_11j",0.1458641564316,0.0598456311824629,0.028587093225,0.25091056275,NA
2,-0.5,"MLM","pi101",-1.01632563587908,0.0521451290814539,-1.11853008887873,-0.914121182879433,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000132629925481516
2,-0.5,"MLM","theta101",NA,NA,NA,NA,NA
2,-0.5,"MLM","gamma_01j",0.565345854314731,0.0697127217621726,0.428708919660873,0.70198278896859,0.000000000000000507652948329958
2,-0.5,"MLM","gamma_11j",0.0234493903805244,0.0517393014619208,-0.0779596404848404,0.124858421245889,0.650388882612446
2,-0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
2,-0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
2,-0.5,"MELSM","pi101",-1.00876310894,0.0377728003085071,-1.092074845,-0.93828843375,NA
2,-0.5,"MELSM","theta101",-0.24358102142,0.0190978601473159,-0.28343315025,-0.20509399325,NA
2,-0.5,"MELSM","gamma_01j",0.5304290681,0.0666939844675732,0.400347277,0.66703840175,NA
2,-0.5,"MELSM","gamma_11j",0.03365639504668,0.0464636064356841,-0.063105024625,0.1234503165,NA
2,0,"MLM","pi101",-1.04725070010257,0.0594951347736113,-1.16386116425885,-0.930640235946293,0.00000000000000000000000000000000000000000000000000000000000000000000236556668184664
2,0,"MLM","theta101",NA,NA,NA,NA,NA
2,0,"MLM","gamma_01j",0.549174565746172,0.0728473054096541,0.40639384714325,0.691955284349094,0.0000000000000474650356775353
2,0,"MLM","gamma_11j",0.0604237439200703,0.0588420237406319,-0.0549066226115682,0.175754110451709,0.304476600137487
2,0,"MLM","tau_01j",NA,NA,NA,NA,NA
2,0,"MLM","tau_11j",NA,NA,NA,NA,NA
