"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,-0.5,"MLM","pi101",-0.900787771294541,0.0541718915308433,-1.00696467869499,-0.794610863894088,0.0000000000000000000000000000000000000000000000000000000000000434580349428538
1,-0.5,"MLM","theta101",NA,NA,NA,NA,NA
1,-0.5,"MLM","gamma_01j",0.464283605251824,0.0700931291436673,0.326901072130236,0.601666138373412,0.0000000000350055462469091
1,-0.5,"MLM","gamma_11j",0.0818411328747957,0.0526644309161101,-0.0213811517207801,0.185063417470372,0.120181666326138
1,-0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
1,-0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
1,-0.5,"MELSM","pi101",-0.93879520728,0.0400323908667253,-1.0123214025,-0.85866839175,NA
1,-0.5,"MELSM","theta101",-0.2626365935,0.0185903301663284,-0.299308138,-0.22752672375,NA
1,-0.5,"MELSM","gamma_01j",0.47370517084,0.0661598178979758,0.35110230275,0.5947455455,NA
1,-0.5,"MELSM","gamma_11j",0.103707791379,0.0492329353811507,0.00879969811,0.1963857795,NA
1,0,"MLM","pi101",-1.04099854600944,0.0593752741981571,-1.15737408343783,-0.924623008581057,0.0000000000000000000000000000000000000000000000000000000000000000000080894356234644
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",0.56566530850648,0.0740333317985133,0.420559978181394,0.710770638831566,0.0000000000000216070435085013
1,0,"MLM","gamma_11j",0.0557622954480175,0.0592461813543387,-0.0603602200064863,0.171884810902521,0.346604196669222
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-1.04237461032,0.0447993593155259,-1.1265797475,-0.94635326375,NA
1,0,"MELSM","theta101",0.00450128308022,0.0182048448138231,-0.031933222325,0.0397080881999999,NA
1,0,"MELSM","gamma_01j",0.55980094808,0.0698657119826231,0.42283136325,0.697287909,NA
1,0,"MELSM","gamma_11j",0.0676948674751,0.0558614602854834,-0.0435218484,0.180010534,NA
1,0.5,"MLM","pi101",-1.03986479029708,0.0820622938389147,-1.20070688622135,-0.879022694372805,0.000000000000000000000000000000000000849077246877749
1,0.5,"MLM","theta101",NA,NA,NA,NA,NA
1,0.5,"MLM","gamma_01j",0.585223806192018,0.0825106241023647,0.423502982951383,0.746944629432653,0.00000000000131512269704403
1,0.5,"MLM","gamma_11j",0.0579394613900113,0.0744565824458892,-0.0879954402039316,0.203874362983954,0.436472104323244
1,0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0.5,"MELSM","pi101",-1.02287960524,0.0494984585196292,-1.11153063,-0.92468239275,NA
1,0.5,"MELSM","theta101",0.2316691362,0.0196451967706644,0.193648901,0.26960652125,NA
1,0.5,"MELSM","gamma_01j",0.53487152626,0.067594146244459,0.39379341675,0.660862885,NA
1,0.5,"MELSM","gamma_11j",0.09014882579122,0.0590120190703559,-0.022307621975,0.19392748475,NA
2,-0.5,"MLM","pi101",-0.931919638779706,0.0516181167968385,-1.03309114770151,-0.830748129857902,0.000000000000000000000000000000000000000000000000000000000000000000000000732204689467625
2,-0.5,"MLM","theta101",NA,NA,NA,NA,NA
2,-0.5,"MLM","gamma_01j",0.378897976599712,0.0700967093687115,0.241508426237038,0.516287526962387,0.0000000646782111485078
2,-0.5,"MLM","gamma_11j",0.218145306463998,0.0515213934281434,0.117163375344837,0.319127237583159,0.0000229497073954148
2,-0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
2,-0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
2,-0.5,"MELSM","pi101",-0.96765684842,0.0401125602478495,-1.048035435,-0.8949207165,NA
2,-0.5,"MELSM","theta101",-0.27306130248,0.0202301733726491,-0.309084483,-0.233307616,NA
2,-0.5,"MELSM","gamma_01j",0.38014030292,0.0661214181716366,0.248184958,0.508457062,NA
2,-0.5,"MELSM","gamma_11j",0.210992682498,0.0466931989173585,0.12303570225,0.30084595225,NA
2,0,"MLM","pi101",-1.08218943471157,0.060283288549218,-1.20034468026803,-0.9640341891551,0.00000000000000000000000000000000000000000000000000000000000000000000000465168783264707
2,0,"MLM","theta101",NA,NA,NA,NA,NA
2,0,"MLM","gamma_01j",0.45459294183923,0.0747581140649525,0.308067038271923,0.601118845406537,0.00000000119546454071419
2,0,"MLM","gamma_11j",0.164726435909034,0.0602856562873473,0.0465665495858336,0.282886322232235,0.00628687124705208
2,0,"MLM","tau_01j",NA,NA,NA,NA,NA
2,0,"MLM","tau_11j",NA,NA,NA,NA,NA
2,0,"MELSM","pi101",-1.02387794524,0.0423745780040245,-1.0993643975,-0.94480508925,NA
2,0,"MELSM","theta101",0.024286951108934,0.0180865108240805,-0.00923202747,0.0603207144,NA
2,0,"MELSM","gamma_01j",0.43189498668,0.0646455951649297,0.3122875295,0.55518821525,NA
2,0,"MELSM","gamma_11j",0.187086199208,0.0518984607488833,0.080052556325,0.2878455435,NA
