"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,-0.5,"MLM","pi101",-1.00280256060003,0.0569180741685074,-1.11436198597031,-0.891243135229758,0.00000000000000000000000000000000000000000000000000000000000000000000178124405364083
1,-0.5,"MLM","theta101",NA,NA,NA,NA,NA
1,-0.5,"MLM","gamma_01j",0.441023141666134,0.0729542793255467,0.298032754188062,0.584013529144205,0.00000000149225632719995
1,-0.5,"MLM","gamma_11j",0.111674704398567,0.0554327511587192,0.00302651212747763,0.220322896669657,0.0439467970899446
1,-0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
1,-0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
1,-0.5,"MELSM","pi101",-0.99025921212,0.0387543709396969,-1.06066532,-0.91557663375,NA
1,-0.5,"MELSM","theta101",-0.24107115746,0.0213193444675361,-0.280913305,-0.19540803725,NA
1,-0.5,"MELSM","gamma_01j",0.43718047154,0.0689800239307393,0.2942583765,0.5675352165,NA
1,-0.5,"MELSM","gamma_11j",0.0980955142908,0.0480430714606101,0.003824440155,0.19239501025,NA
1,0,"MLM","pi101",-0.843316485775522,0.0579483852450918,-0.956895320855902,-0.729737650695142,0.00000000000000000000000000000000000000000000000559867606988093
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",0.488238764932414,0.0729074883095888,0.34534008784562,0.631137442019208,0.0000000000213194866697611
1,0,"MLM","gamma_11j",0.0926187348287248,0.0574555934631543,-0.0199942283590577,0.205231698016507,0.106960734709083
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-0.93148685642,0.0429387160462586,-1.0194387625,-0.84809246425,NA
1,0,"MELSM","theta101",-0.013111150849682,0.0188946871253387,-0.0499936401,0.022528062675,NA
1,0,"MELSM","gamma_01j",0.50361092494,0.0673361063465219,0.37769430425,0.637136018,NA
1,0,"MELSM","gamma_11j",0.067093130466336,0.0548779021845861,-0.044802768975,0.167437044,NA
1,0.5,"MLM","pi101",-1.09181472804227,0.0731656886736139,-1.23521947784256,-0.948409978241992,0.0000000000000000000000000000000000000000000000000235302596471574
1,0.5,"MLM","theta101",NA,NA,NA,NA,NA
1,0.5,"MLM","gamma_01j",0.588181526200792,0.0834442093395096,0.424630875895353,0.751732176506231,0.00000000000180467574842792
1,0.5,"MLM","gamma_11j",-0.0132352043564032,0.0730039838445378,-0.156323012691697,0.129852603978891,0.856136599103796
1,0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0.5,"MELSM","pi101",-0.99831187092,0.0506339029084677,-1.09747137,-0.90020889125,NA
1,0.5,"MELSM","theta101",0.25366785152,0.019697791354808,0.21559382075,0.28987871425,NA
1,0.5,"MELSM","gamma_01j",0.57679317532,0.0687657117498174,0.4402052635,0.7099158355,NA
1,0.5,"MELSM","gamma_11j",0.088687567926262,0.0598715345659714,-0.02656741025,0.207760634,NA
2,-0.5,"MLM","pi101",-1.00109618799227,0.0530857865051627,-1.10514432954239,-0.897048046442153,0.000000000000000000000000000000000000000000000000000000000000000000000000000000252197570554265
2,-0.5,"MLM","theta101",NA,NA,NA,NA,NA
2,-0.5,"MLM","gamma_01j",0.483586647813866,0.0709260060720757,0.344571675912597,0.622601619715134,0.00000000000921977141337409
2,-0.5,"MLM","gamma_11j",0.0680241875492834,0.0528661646150595,-0.0355934950962331,0.1716418701948,0.198190341564361
2,-0.5,"MLM","tau_01j",NA,NA,NA,NA,NA
2,-0.5,"MLM","tau_11j",NA,NA,NA,NA,NA
2,-0.5,"MELSM","pi101",-1.00449719562,0.0403764611530155,-1.08215229,-0.924341836,NA
2,-0.5,"MELSM","theta101",-0.23359493988,0.0190754247010869,-0.2715270315,-0.19405288475,NA
